板块,公司全称,A股代码,A股简称,A股上市日期,所属行业
主板,湖北双环科技股份有限公司,000707,ST双环,1997-04-15,C 制造业
主板,中信泰富特钢集团股份有限公司,000708,中信特钢,1997-03-26,C 制造业
主板,河钢股份有限公司,000709,河钢股份,1997-04-16,C 制造业
主板,成都市贝瑞和康基因技术股份有限公司,000710,贝瑞基因,1997-04-22,M 科研服务
主板,京蓝科技股份有限公司,000711,京蓝科技,1997-04-11,E 建筑业
主板,广东锦龙发展股份有限公司,000712,锦龙股份,1997-04-15,J 金融业
主板,合肥丰乐种业股份有限公司,000713,丰乐种业,1997-04-22,A 农林牧渔
主板,中兴-沈阳商业大厦(集团)股份有限公司,000715,中兴商业,1997-05-08,F 批发零售
主板,南方黑芝麻集团股份有限公司,000716,黑芝麻,1997-04-18,C 制造业
主板,广东韶钢松山股份有限公司,000717,韶钢松山,1997-05-08,C 制造业
主板,苏宁环球股份有限公司,000718,苏宁环球,1997-04-08,K 房地产
主板,中原大地传媒股份有限公司,000719,中原传媒,1997-03-31,R 文化传播
主板,山东新能泰山发电股份有限公司,000720,新能泰山,1997-05-09,K 房地产
主板,西安饮食股份有限公司,000721,西安饮食,1997-04-30,H 住宿餐饮
主板,湖南发展集团股份有限公司,000722,湖南发展,1997-05-22,D 水电煤气
主板,山西美锦能源股份有限公司,000723,美锦能源,1997-05-15,C 制造业
主板,京东方科技集团股份有限公司,000725,京东方Ａ,2001-01-12,C 制造业
主板,鲁泰纺织股份有限公司,000726,鲁  泰Ａ,2000-12-25,C 制造业
主板,南京华东电子信息科技股份有限公司,000727,*ST东科,1997-05-20,C 制造业
主板,国元证券股份有限公司,000728,国元证券,1997-06-16,J 金融业
主板,北京燕京啤酒股份有限公司,000729,燕京啤酒,1997-07-16,C 制造业
主板,四川美丰化工股份有限公司,000731,四川美丰,1997-06-17,C 制造业
主板,泰禾集团股份有限公司,000732,泰禾集团,1997-07-04,K 房地产
主板,中国振华(集团)科技股份有限公司,000733,振华科技,1997-07-03,C 制造业
主板,罗牛山股份有限公司,000735,罗 牛 山,1997-06-11,A 农林牧渔
主板,中交地产股份有限公司,000736,中交地产,1997-04-25,K 房地产
主板,南风化工集团股份有限公司,000737,ST南风,1997-04-28,C 制造业
主板,中国航发动力控制股份有限公司,000738,航发控制,1997-06-26,C 制造业
主板,普洛药业股份有限公司,000739,普洛药业,1997-05-09,C 制造业
主板,国海证券股份有限公司,000750,国海证券,1997-07-09,J 金融业
主板,葫芦岛锌业股份有限公司,000751,锌业股份,1997-06-26,C 制造业
主板,西藏发展股份有限公司,000752,*ST西发,1997-06-25,C 制造业
主板,福建漳州发展股份有限公司,000753,漳州发展,1997-06-26,F 批发零售
主板,山西路桥股份有限公司,000755,山西路桥,1997-06-27,G 运输仓储
主板,山东新华制药股份有限公司,000756,新华制药,1997-08-06,C 制造业
主板,四川浩物机电股份有限公司,000757,浩物股份,1997-06-27,F 批发零售
主板,中国有色金属建设股份有限公司,000758,中色股份,1997-04-16,B 采矿业
主板,中百控股集团股份有限公司,000759,中百集团,1997-05-19,F 批发零售
主板,斯太尔动力股份有限公司,000760,*ST斯太,1997-06-27,C 制造业
主板,本钢板材股份有限公司,000761,本钢板材,1998-01-15,C 制造业
主板,西藏矿业发展股份有限公司,000762,西藏矿业,1997-07-08,B 采矿业
主板,通化金马药业集团股份有限公司,000766,通化金马,1997-04-30,C 制造业
主板,晋能控股山西电力股份有限公司,000767,晋控电力,1997-06-09,D 水电煤气
主板,中航西安飞机工业集团股份有限公司,000768,中航西飞,1997-06-26,C 制造业
主板,广发证券股份有限公司,000776,广发证券,1997-06-11,J 金融业
主板,中核苏阀科技实业股份有限公司,000777,中核科技,1997-07-10,C 制造业
主板,新兴铸管股份有限公司,000778,新兴铸管,1997-06-06,C 制造业
主板,甘肃工程咨询集团股份有限公司,000779,甘咨询,1997-05-28,M 科研服务
